"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.624437083E0,-1.150687638E-1,-1.926479400E-3,-4.216778040E-2,1.225669345E-1
2.634381083E0,-1.203741710E-1,-3.239769517E-2,-1.896661341E-2,1.260923634E-1
2.644325083E0,-1.106742341E-1,-3.629676932E-2,-3.848637342E-3,1.165377774E-1
2.654270083E0,-1.324375616E-1,-4.799371767E-3,-2.106284022E-2,1.341878718E-1
2.664214083E0,-1.242228540E-1,2.823595771E-2,-2.181186855E-2,1.292452876E-1
2.674158083E0,-9.653479868E-2,-1.178118480E-2,-1.133365810E-2,9.790922059E-2
2.684102083E0,-1.308786482E-1,-2.144791592E-2,6.327856779E-3,1.327752817E-1
2.694046083E0,-2.526562515E-1,-6.424682102E-2,6.021345735E-2,2.675602658E-1
2.703990083E0,-1.848503673E-1,-3.767498546E-2,-8.273693204E-2,2.059962688E-1
2.713934083E0,-1.818201300E-2,-1.980758920E-2,-2.151366055E-2,3.443492090E-2
2.723878083E0,-2.667553456E-2,1.501676899E-2,4.419910312E-2,5.376474878E-2
2.733822083E0,3.790530637E-3,1.566637638E-2,-4.291856289E-2,4.584546337E-2
2.743766083E0,2.450196690E-2,3.616155703E-3,5.647299349E-2,6.166540325E-2
2.753710083E0,2.081429930E-2,2.581828478E-2,-4.456572354E-2,5.555108099E-2
2.763654083E0,3.665660149E-2,3.334996906E-2,-5.324825406E-2,7.274134608E-2
2.773598083E0,-4.547939210E-3,-1.227380358E-2,6.485556185E-2,6.616323684E-2
2.783542083E0,-1.734890354E-2,2.393557727E-3,-3.498739958E-2,3.912584443E-2
2.793486083E0,-2.453282467E-2,-1.203608229E-2,3.836065829E-2,4.709848052E-2
2.803430083E0,2.665418766E-2,3.750223678E-2,-2.555701017E-2,5.263101987E-2
2.813375083E0,4.549018661E-2,3.378405173E-2,1.830003083E-2,5.954502798E-2
2.823319083E0,-8.556239801E-3,-1.376825597E-2,-2.795319915E-2,3.231339435E-2
2.833263083E0,-1.968269633E-2,-1.709699362E-2,7.221896052E-3,2.705312382E-2
2.843207083E0,2.103546795E-2,-2.891279119E-2,-9.697022438E-3,3.704689798E-2
2.853151083E0,2.621424863E-2,-4.152070376E-2,-5.640341163E-2,7.478302291E-2
2.863095083E0,1.042539365E-1,-8.395257731E-2,-3.566801548E-3,1.339016078E-1
2.873039083E0,9.241442112E-2,-2.570763536E-2,-5.663613081E-3,9.609050037E-2
2.882983083E0,-1.219590999E-2,2.512883867E-2,1.469522238E-2,3.156181735E-2
2.892927083E0,7.140971501E-3,8.135733632E-2,-1.943380594E-2,8.395047624E-2
2.902871083E0,-1.832318672E-2,6.859116978E-2,9.906937480E-3,7.168427410E-2
2.912815083E0,-2.162598876E-2,4.973846743E-2,1.078226566E-3,5.424722210E-2
